scenario,simulation,observed_homogenization,latent_homogenization,observed_between_change,latent_between_change,observed_group_mean_variance_change,observed_icc_change,latent_icc_change
crystallization_only,110,0.125952,0,0.005656,0,-9.83e-4,0.014392,0
crystallization_only,111,0.159267,0,0.015006,0,0.007018,0.022013,0
crystallization_only,112,0.141907,0,0.005325,0,-0.001981,0.019815,0
crystallization_only,113,0.129607,0,-0.010861,0,-0.016922,-5.31e-4,0
crystallization_only,114,0.180693,0,0.001743,0,-0.006759,0.019036,0
crystallization_only,115,0.15106,0,0.011282,0,0.003342,0.019715,0
crystallization_only,116,0.13518,0,0.0155,0,0.009081,0.018809,0
crystallization_only,117,0.146992,0,-0.012277,0,-0.019231,0.005516,0
crystallization_only,118,0.11327,0,0.016901,0,0.011731,0.02687,0
crystallization_only,119,0.146663,0,0.010095,0,0.002731,0.025825,0
crystallization_only,120,0.138388,0,0.012308,0,0.005668,0.025071,0
crystallization_only,121,0.137268,0,-0.006944,0,-0.01374,0.006901,0
crystallization_only,122,0.124351,0,0.009751,0,0.003931,0.017664,0
crystallization_only,123,0.154743,0,0.0041,0,-0.003203,0.019628,0
crystallization_only,124,0.101593,0,-0.010029,0,-0.01495,0.004367,0
crystallization_only,125,0.184708,0,-0.004599,0,-0.012616,0.014915,0
crystallization_only,126,0.182232,0,-1.65e-4,0,-0.009391,0.015566,0
crystallization_only,127,0.152386,0,-0.012724,0,-0.019367,0.012002,0
crystallization_only,128,0.116538,0,0.017108,0,0.011697,0.021449,0
crystallization_only,129,0.144152,0,-0.005822,0,-0.012792,0.012083,0
crystallization_only,130,0.17573,0,-0.016371,0,-0.024404,0.002041,0
crystallization_only,131,0.13817,0,0.019975,0,0.013206,0.023228,0
crystallization_only,132,0.146487,0,-0.003257,0,-0.010551,0.014932,0
crystallization_only,133,0.159991,0,0.001385,0,-0.006011,0.014939,0
crystallization_only,134,0.12381,0,0.005672,0,9.5e-5,0.01714,0
crystallization_only,135,0.146859,0,0.008316,0,0.001633,0.024325,0
crystallization_only,136,0.110473,0,-0.011631,0,-0.016926,0.009181,0
crystallization_only,137,0.141682,0,-0.004159,0,-0.011045,0.012912,0
crystallization_only,138,0.204784,0,-0.001418,0,-0.012268,0.021218,0
crystallization_only,139,0.105479,0,0.007769,0,0.002857,0.013067,0
crystallization_only,140,0.100631,0,0.021541,0,0.016118,0.02282,0
crystallization_only,141,0.14601,0,0.004052,0,-0.002958,0.017913,0
crystallization_only,142,0.176117,0,0.017331,0,0.008461,0.028452,0
crystallization_only,143,0.152262,0,-0.027508,0,-0.034738,-0.001717,0
crystallization_only,144,0.108053,0,-0.004153,0,-0.009045,0.013439,0
crystallization_only,145,0.176077,0,0.010914,0,0.002163,0.017044,0
crystallization_only,146,0.169129,0,0.007909,0,-2.04e-4,0.02029,0
crystallization_only,147,0.124026,0,8.82e-4,0,-0.005168,0.012501,0
crystallization_only,148,0.121309,0,-0.01545,0,-0.02114,-0.001309,0
crystallization_only,149,0.101927,0,-0.003186,0,-0.00793,0.005725,0
crystallization_only,150,0.178466,0,-3.18e-4,0,-0.008316,0.025256,0
crystallization_only,151,0.083646,0,0.003386,0,-6.94e-4,0.013345,0
crystallization_only,152,0.090173,0,-0.017637,0,-0.022041,-0.003197,0
crystallization_only,153,0.137166,0,0.007506,0,8.11e-4,0.017744,0
crystallization_only,154,0.199822,0,-0.029495,0,-0.039036,0.007067,0
crystallization_only,155,0.195848,0,0.00316,0,-0.007397,0.013498,0
crystallization_only,156,0.10222,0,-0.028275,0,-0.032427,-0.014595,0
crystallization_only,157,0.082788,0,-0.023956,0,-0.02787,-0.003754,0
crystallization_only,158,0.17637,0,0.002247,0,-0.005656,0.017115,0
crystallization_only,159,0.151754,0,0.006402,0,-0.001177,0.010723,0
crystallization_only,160,0.112465,0,-0.004429,0,-0.010151,0.007817,0
crystallization_only,161,0.139811,0,-0.004263,0,-0.011263,0.012853,0
crystallization_only,162,0.121007,0,0.00554,0,-4.06e-4,0.013384,0
crystallization_only,163,0.140441,0,0.013885,0,0.00704,0.020995,0
crystallization_only,164,0.150576,0,-0.028098,0,-0.035338,-0.007383,0
crystallization_only,165,0.170583,0,0.0216,0,0.013231,0.023269,0
crystallization_only,166,0.10424,0,0.01227,0,0.007253,0.014242,0
crystallization_only,167,0.112644,0,-0.01035,0,-0.015877,-0.00117,0
crystallization_only,168,0.113304,0,-0.026144,0,-0.031223,-0.00726,0
crystallization_only,169,0.13304,0,-0.005427,0,-0.011433,0.013014,0
crystallization_only,170,0.162722,0,0.017834,0,0.009833,0.028072,0
crystallization_only,171,0.144292,0,-0.002603,0,-0.009719,0.013436,0
crystallization_only,172,0.163695,0,-7.57e-4,0,-0.008292,0.019915,0
crystallization_only,173,0.13211,0,-0.013556,0,-0.019659,0.009151,0
crystallization_only,174,0.117667,0,-0.007971,0,-0.013797,0.00814,0
crystallization_only,175,0.093408,0,-0.001044,0,-0.00512,0.005811,0
crystallization_only,176,0.134606,0,0.013715,0,0.007287,0.023495,0
crystallization_only,177,0.109406,0,-0.008458,0,-0.013821,0.004866,0
crystallization_only,178,0.14775,0,-0.016957,0,-0.024049,0.003198,0
crystallization_only,179,0.146788,0,0.010227,0,0.003531,0.020263,0
crystallization_only,180,0.140985,0,0.009424,0,0.002841,0.013558,0
crystallization_only,181,0.14338,0,-0.024251,0,-0.031092,-0.001348,0
crystallization_only,182,0.183967,0,-0.020846,0,-0.029244,0.005421,0
crystallization_only,183,0.153229,0,0.001013,0,-0.006606,0.013185,0
crystallization_only,184,0.171751,0,0.006571,0,-0.002081,0.01851,0
crystallization_only,185,0.062403,0,0.028959,0,0.02578,0.024832,0
crystallization_only,186,0.145432,0,0.021934,0,0.01504,0.028574,0
crystallization_only,187,0.116938,0,-0.001793,0,-0.007439,0.01345,0
crystallization_only,188,0.175527,0,0.027377,0,0.018394,0.031925,0
crystallization_only,189,0.113129,0,0.01337,0,0.008122,0.021799,0
crystallization_only,190,0.128535,0,-0.022759,0,-0.02857,0.001787,0
crystallization_only,191,0.090068,0,-0.019627,0,-0.023508,-0.006402,0
crystallization_only,192,0.165962,0,-0.013439,0,-0.021489,0.001979,0
crystallization_only,193,0.166079,0,0.022494,0,0.013882,0.030146,0
crystallization_only,194,0.159952,0,-0.013405,0,-0.021047,-3.75e-4,0
crystallization_only,195,0.134122,0,0.01307,0,0.006796,0.020854,0
crystallization_only,196,0.125845,0,-0.002468,0,-0.008526,0.008639,0
crystallization_only,197,0.164227,0,-0.017154,0,-0.024387,0.004796,0
crystallization_only,198,0.119594,0,-0.004941,0,-0.010283,0.004312,0
crystallization_only,199,0.086247,0,0.001195,0,-0.002998,0.010249,0
crystallization_only,200,0.135492,0,0.002511,0,-0.004074,0.009385,0
convergence_only,1,0.499201,0.51,0.010916,0.005162,-0.013388,0.074496,0.080821
convergence_only,2,0.468446,0.51,-0.005781,2.29e-4,-0.026262,0.067248,0.091615
convergence_only,3,0.484087,0.51,0.007089,0.010714,-0.013858,0.086202,0.10086
convergence_only,4,0.459029,0.51,-0.007317,-0.007244,-0.026412,0.072676,0.091791
convergence_only,5,0.495919,0.51,0.027065,0.015975,0.003217,0.081791,0.083865
convergence_only,6,0.464234,0.51,-0.002396,-0.005396,-0.021209,0.06392,0.082661
convergence_only,7,0.526871,0.51,0.006768,0.003575,-0.020128,0.091878,0.087688
convergence_only,8,0.492451,0.51,-0.003796,7.51e-4,-0.027215,0.098188,0.116737
convergence_only,9,0.467546,0.51,-0.00285,8.64e-4,-0.023448,0.082869,0.106023
convergence_only,10,0.467982,0.51,0.015873,0.009557,-0.004435,0.079074,0.088621
convergence_only,11,0.507667,0.51,0.016834,-0.002832,-0.007222,0.076043,0.066998
convergence_only,12,0.482924,0.51,-0.00374,-0.005933,-0.024599,0.054652,0.060686
convergence_only,13,0.471342,0.51,0.010684,-0.003336,-0.009473,0.097517,0.096945
convergence_only,14,0.439681,0.51,-0.017824,-3.17e-4,-0.036622,0.043187,0.081114
convergence_only,15,0.436773,0.51,-0.002312,0.004115,-0.021549,0.070649,0.102262
convergence_only,16,0.455189,0.51,0.02008,0.007342,2.75e-4,0.096616,0.105768
convergence_only,17,0.471281,0.51,-0.019531,0.003485,-0.040943,0.071139,0.107944
convergence_only,18,0.464925,0.51,-0.003117,0.004888,-0.022774,0.087649,0.116631
convergence_only,19,0.472445,0.51,-0.004717,-0.009759,-0.025462,0.102477,0.113766
convergence_only,20,0.469339,0.51,0.018894,-0.009623,-0.00209,0.103264,0.099784
convergence_only,21,0.45769,0.51,-0.023932,-0.004036,-0.04374,0.069352,0.108421
convergence_only,22,0.451915,0.51,-0.022944,-8.1e-4,-0.043173,0.044476,0.085511
convergence_only,23,0.461943,0.51,-0.006466,-0.001849,-0.026592,0.059367,0.088425
convergence_only,24,0.469595,0.51,-0.021014,-0.024938,-0.04169,0.079275,0.098455
convergence_only,25,0.462417,0.51,-0.014355,1.91e-4,-0.035416,0.040595,0.070849
convergence_only,26,0.448183,0.51,-0.013729,-0.008303,-0.032559,0.034177,0.057736
convergence_only,27,0.471499,0.51,-0.030238,-0.015773,-0.051241,0.06685,0.09722
convergence_only,28,0.434986,0.51,0.018809,0.002721,0.001981,0.084301,0.093062
convergence_only,29,0.490419,0.51,-0.003961,-5.66e-4,-0.026162,0.074928,0.085979
convergence_only,30,0.440073,0.51,-0.008711,0.001122,-0.026106,0.051395,0.088013
convergence_only,31,0.446311,0.51,0.011474,0.010634,-0.007952,0.048774,0.07231
convergence_only,32,0.43212,0.51,-0.031073,0.005449,-0.048222,0.038963,0.100483
convergence_only,33,0.465534,0.51,-0.007385,-0.002397,-0.028214,0.043472,0.065517
convergence_only,34,0.467134,0.51,0.007881,-2.9e-5,-0.012317,0.09452,0.101901
convergence_only,35,0.484353,0.51,0.020507,-0.002697,-2.06e-4,0.101972,0.092779
convergence_only,36,0.512673,0.51,0.01781,0.003935,-0.004458,0.078511,0.074483
convergence_only,37,0.472514,0.51,-0.008683,-0.011648,-0.030567,0.089959,0.104195
convergence_only,38,0.433354,0.51,-0.018778,-0.015014,-0.036624,0.076293,0.107651
convergence_only,39,0.415404,0.51,-0.020681,-0.017629,-0.037705,0.050024,0.085512
convergence_only,40,0.445135,0.51,0.016595,0.02227,-0.002188,0.081976,0.115292
convergence_only,41,0.459526,0.51,0.017147,0.004466,-0.002972,0.088552,0.097708
convergence_only,42,0.465201,0.51,0.010638,0.010165,-0.010352,0.058941,0.069427
convergence_only,43,0.451793,0.51,-0.009864,0.007424,-0.028948,0.057856,0.095778
convergence_only,44,0.481348,0.51,0.012324,0.005218,-0.009402,0.065069,0.070916
convergence_only,45,0.466683,0.51,-3.9e-5,-0.007198,-0.021174,0.057053,0.06453
convergence_only,46,0.439272,0.51,-0.006096,0.001771,-0.027276,0.051676,0.084768
convergence_only,47,0.440597,0.51,-0.023385,-0.017653,-0.042851,0.054924,0.089688
convergence_only,48,0.441954,0.51,-0.012071,-0.013377,-0.031717,0.080175,0.114116
convergence_only,49,0.481913,0.51,0.017175,0.016761,-0.00407,0.073544,0.088711
convergence_only,50,0.490411,0.51,-0.031337,-0.013952,-0.051497,0.050761,0.08185
convergence_only,51,0.464358,0.51,-7.8e-4,0.013481,-0.021755,0.067675,0.09538
convergence_only,52,0.414698,0.51,-0.002507,-0.00389,-0.020209,0.048534,0.074352
convergence_only,53,0.502642,0.51,-0.003297,0.007852,-0.027224,0.064164,0.082921
convergence_only,54,0.497976,0.51,0.031056,0.008683,0.010223,0.114052,0.097971
convergence_only,55,0.438497,0.51,-6.88e-4,0.008992,-0.020469,0.054656,0.089441
convergence_only,56,0.46045,0.51,0.012054,0.009538,-0.009255,0.077983,0.08939
convergence_only,57,0.452461,0.51,-0.028641,-0.027095,-0.048525,0.081749,0.11256
convergence_only,58,0.499408,0.51,0.014996,8.31e-4,-0.008682,0.105047,0.102139
convergence_only,59,0.46669,0.51,-0.00311,0.011656,-0.023242,0.043021,0.076452
convergence_only,60,0.464895,0.51,0.009107,0.007929,-0.010379,0.058976,0.076132
convergence_only,61,0.455851,0.51,0.018772,0.003339,4e-4,0.082995,0.091407
convergence_only,62,0.46707,0.51,-0.010764,0.00284,-0.030653,0.058065,0.093657
convergence_only,63,0.478707,0.51,0.006961,0.007818,-0.014062,0.071613,0.090367
convergence_only,64,0.449737,0.51,0.001271,-0.013027,-0.019322,0.074718,0.087015
convergence_only,65,0.444805,0.51,-0.006388,-4.98e-4,-0.025372,0.062343,0.092615
convergence_only,66,0.473851,0.51,-2.04e-4,-0.001657,-0.019792,0.073753,0.092228
convergence_only,67,0.438181,0.51,0.014022,0.010664,-0.004116,0.077582,0.098503
convergence_only,68,0.45629,0.51,0.01525,-0.002162,-0.003262,0.074724,0.075221
convergence_only,69,0.490187,0.51,0.006488,0.009024,-0.01548,0.091815,0.109887
convergence_only,70,0.469499,0.51,0.010116,0.012143,-0.010268,0.049363,0.072059
convergence_only,71,0.486163,0.51,0.016096,0.006733,-0.005819,0.089466,0.096903
convergence_only,72,0.441003,0.51,-0.006041,-0.005997,-0.027583,0.063966,0.08566
